token	specif
实实在在	-1.1595536950497383
阐述	-1.1595536950497383
两国关系	-1.1595536950497383
合作开发	-1.1595536950497383
非金融	-1.1595536950497383
亚洲开发银行	-1.1595536950497383
施工	-1.1595536950497383
强化	-1.1595536950497383
典籍	-1.1595536950497383
人民币	-1.1595536950497383
热议	-1.1595536950497383
塑造	-1.1595536950497383
访埃	-1.1595536950497383
瓶颈	-1.1595536950497383
揭牌	-1.1595536950497383
出资	-1.1595536950497383
学校	-1.1595536950497383
巴西	-1.1595536950497383
长远	-1.1595536950497383
大通道	-1.1595536950497383
培养	-1.1595536950497383
制造业	-1.1595536950497383
专项规划	-1.1595536950497383
整合	-1.1595536950497383
均衡	-1.1595536950497383
着眼	-1.1595536950497383
继续加强	-1.1595536950497383
搭	-1.1595536950497383
轨道交通	-1.1595536950497383
交换	-1.1595536950497383
工业园区	-1.1595536950497383
面向	-1.1595536950497383
前景	-1.1595536950497383
月底	-1.1595536950497383
将会	-1.1595536950497383
发言人	-1.1595536950497383
开幕式	-1.1595536950497383
钥匙	-1.1595536950497383
高水平	-1.1595536950497383
参与者	-1.1595536950497383
园区	-1.1595536950497383
演讲时	-1.1595536950497383
出访	-1.1595536950497383
主权	-1.1458306458025422
涵盖	-1.1458306458025422
一方面	-1.1458306458025422
复兴	-1.1458306458025422
人员	-1.1458306458025422
一定	-1.1458306458025422
解决	-1.1458306458025422
亚欧	-1.1458306458025422
1000	-1.1458306458025422
学习	-1.1458306458025422
次	-1.1458306458025422
本国	-1.1458306458025422
展开	-1.1458306458025422
标志	-1.1458306458025422
每	-1.1458306458025422
突破	-1.1458306458025422
开罗	-1.1458306458025422
另一方面	-1.1458306458025422
中土	-1.1458306458025422
天	-1.1458306458025422
加速	-1.1458306458025422
老	-1.1458306458025422
产品	-1.1421194923640199
万里	-1.1421194923640199
介绍	-1.1404906386012705
完成	-1.0635393412018526
规模	-1.0635393412018526
出口	-1.057381336505149
需要	-1.0190275737978922
间	-0.9896945298910208
联通	-0.985869829643406
越来越	-0.985869829643406
卡	-0.985869829643406
该国	-0.985869829643406
涉及	-0.9718184859089375
打击	-0.9135106122652515
决定	-0.9135106122652515
过去	-0.9135106122652515
博览会	-0.9135106122652515
渠道	-0.9135106122652515
国外	-0.9135106122652515
如何	-0.9135106122652515
四大	-0.9135106122652515
一年	-0.9135106122652515
以上	-0.9135106122652515
150	-0.9135106122652515
建	-0.9135106122652515
要求	-0.9135106122652515
配合	-0.9135106122652515
新华社	-0.9135106122652515
15	-0.9018475989083948
分别	-0.9018475989083948
努力	-0.9018475989083948
60	-0.9018475989083948
能	-0.9018475989083948
首次	-0.8830341439543583
达到	-0.8830341439543583
精神	-0.8830341439543583
非传统	-0.8696578673955151
跨国	-0.8696578673955151
信息化	-0.8696578673955151
站	-0.8696578673955151
一揽子	-0.8696578673955151
标志性	-0.8696578673955151
高效	-0.8696578673955151
围绕	-0.8696578673955151
APEC	-0.8696578673955151
贯彻	-0.8696578673955151
低	-0.8696578673955151
加伊	-0.8696578673955151
有益	-0.8696578673955151
互惠互利	-0.8696578673955151
专业	-0.8696578673955151
收购	-0.8696578673955151
中海	-0.8696578673955151
兆瓦	-0.8696578673955151
多层次	-0.8696578673955151
所长	-0.8696578673955151
投向	-0.8696578673955151
东线	-0.8696578673955151
劳动力	-0.8696578673955151
决心	-0.8696578673955151
合唱	-0.8696578673955151
助推	-0.8696578673955151
志合者	-0.8696578673955151
大大缩短	-0.8696578673955151
牵	-0.8696578673955151
增至	-0.8696578673955151
协助	-0.8696578673955151
沙中	-0.8696578673955151
日至	-0.8696578673955151
经济社会	-0.8696578673955151
奥斯本	-0.8696578673955151
大动脉	-0.8696578673955151
发源地	-0.8696578673955151
尔多	-0.8696578673955151
付出	-0.8696578673955151
台湾	-0.8696578673955151
章程	-0.8696578673955151
捷克	-0.8696578673955151
党中央	-0.8696578673955151
国门	-0.8696578673955151
趋势	-0.8696578673955151
局	-0.8696578673955151
赵锡军	-0.8696578673955151
一大批	-0.8696578673955151
切实	-0.8696578673955151
互通	-0.8696578673955151
经济总量	-0.8696578673955151
场合	-0.8696578673955151
严重	-0.8696578673955151
连续	-0.8696578673955151
沈骥	-0.8696578673955151
副局长	-0.8696578673955151
世界各地	-0.8696578673955151
吞吐量	-0.8696578673955151
吉	-0.8696578673955151
科学	-0.8696578673955151
先导	-0.8696578673955151
引导	-0.8696578673955151
必将	-0.8696578673955151
车辆	-0.8696578673955151
访巴	-0.8696578673955151
脚步	-0.8696578673955151
商务	-0.8696578673955151
伙伴关系	-0.8696578673955151
发展潜力	-0.8696578673955151
会晤	-0.8696578673955151
汽笛	-0.8696578673955151
加工业	-0.8696578673955151
尽早	-0.8696578673955151
货物运输	-0.8696578673955151
私有化	-0.8696578673955151
新动力	-0.8696578673955151
秘书处	-0.8696578673955151
陪同	-0.8696578673955151
风能	-0.8696578673955151
水利	-0.8696578673955151
穿越	-0.8696578673955151
热烈响应	-0.8696578673955151
铁路运输	-0.8696578673955151
司法	-0.8696578673955151
长期以来	-0.8696578673955151
奠基	-0.8696578673955151
共同进步	-0.8696578673955151
王俊岭	-0.8696578673955151
400	-0.8696578673955151
公民	-0.8696578673955151
运作	-0.8696578673955151
本次	-0.8696578673955151
喀喇昆仑	-0.8696578673955151
云南	-0.8696578673955151
相待	-0.8696578673955151
喀山	-0.8696578673955151
跨越	-0.8696578673955151
工商联合	-0.8696578673955151
首席	-0.8696578673955151
茶路	-0.8696578673955151
新丝路	-0.8696578673955151
中国伊斯兰教协会	-0.8696578673955151
结算	-0.8696578673955151
据悉	-0.8696578673955151
评论	-0.8696578673955151
抓取	-0.8696578673955151
角度	-0.8696578673955151
中转站	-0.8696578673955151
哈	-0.8696578673955151
全世界	-0.8696578673955151
谢里夫	-0.8696578673955151
力争	-0.8696578673955151
做好	-0.8696578673955151
粮食	-0.8696578673955151
首条	-0.8696578673955151
不到	-0.8696578673955151
全力	-0.8696578673955151
旅游局	-0.8696578673955151
总人口	-0.8696578673955151
百千万	-0.8696578673955151
联网	-0.8696578673955151
金融中心	-0.8696578673955151
分支机构	-0.8696578673955151
拉姆	-0.8696578673955151
充分体现	-0.8696578673955151
基于	-0.8696578673955151
